Date,Open,High,Low,Close,Adj Close,Volume
2020-12-17,74.800003,75.419998,73.739998,74.699997,74.699997,924500
2020-12-18,74.660004,75.750000,74.099998,74.989998,74.989998,1309600
2020-12-21,73.000000,75.720001,72.589996,74.459999,74.459999,1086600
2020-12-22,74.900002,78.324997,73.480003,76.809998,76.809998,1299700
2020-12-23,77.269997,78.721001,77.040001,78.500000,78.500000,932600
2020-12-24,78.239998,78.790001,76.964996,77.739998,77.739998,250400
2020-12-28,78.750000,78.970001,75.739998,76.629997,76.629997,959700
2020-12-29,76.900002,77.334999,75.610001,76.339996,76.339996,526700
2020-12-30,76.430000,78.919998,76.430000,78.040001,78.040001,622600
2020-12-31,78.190002,78.550003,76.550003,77.629997,77.629997,657200
2021-01-04,76.900002,77.220001,73.139999,73.930000,73.930000,1902000
2021-01-05,73.849998,76.010002,72.000000,74.769997,74.769997,1491800
2021-01-06,74.410004,79.129997,73.790001,77.480003,77.480003,1447900
2021-01-07,78.279999,81.739998,77.900002,79.580002,79.580002,1275000
2021-01-08,79.660004,81.440002,79.110001,81.419998,81.419998,931800
2021-01-11,80.139999,83.559998,79.180000,82.739998,82.739998,1637100
2021-01-12,83.010002,84.330002,82.510002,83.750000,83.750000,1119500
2021-01-13,83.510002,83.934998,82.110001,82.720001,82.720001,1386900
2021-01-14,83.449997,84.205002,81.139999,82.190002,82.190002,1144700
2021-01-15,82.029999,82.400002,79.389999,81.089996,81.089996,1200000
2021-01-19,81.260002,81.629997,79.480003,80.110001,80.110001,924900
2021-01-20,80.430000,81.190002,78.980003,79.660004,79.660004,1122000
2021-01-21,80.040001,81.529999,78.339996,80.940002,80.940002,1280700
2021-01-22,79.949997,81.279999,78.970001,79.330002,79.330002,1068300
2021-01-25,77.300003,79.730003,75.449997,77.300003,77.300003,2188600
2021-01-26,78.239998,78.239998,73.290001,74.050003,74.050003,2259700
2021-01-27,72.900002,75.739998,71.250000,73.540001,73.540001,2310400
2021-01-28,75.129997,76.949997,74.595001,75.589996,75.589996,1582600
2021-01-29,74.940002,75.790001,71.760002,72.000000,72.000000,1478100
